ID	Batiment	Momentjour	Face	Emplacement	Bait	Age_building	Date	Tunder_mean	Tground_mean	xcoord	ycoord
S10morningNA2thon	S10	morning	N	A2	thon	45	9	22.4	24.1	729543.7885	5832031.693
S10morningNA3miel	S10	morning	N	A3	miel	45	9	22.4	24.1	729549.1466	5832031.634
S10morningNA3thon	S10	morning	N	A3	thon	45	9	22.4	24.1	729549.1466	5832031.634
S10morningNA4miel	S10	morning	N	A4	miel	45	9	22.4	24.1	729554.3869	5832031.576
S10morningNA4thon	S10	morning	N	A4	thon	45	9	22.4	24.1	729554.3869	5832031.576
S10morningNA5miel	S10	morning	N	A5	miel	45	9	22.4	24.1	729559.2151	5832031.693
S10morningNA5thon	S10	morning	N	A5	thon	45	9	22.4	24.1	729559.2151	5832031.693
S10morningNB1miel	S10	morning	N	B1	miel	45	9	22.4	24.1	729538.4892	5832035.521
S10morningNB1thon	S10	morning	N	B1	thon	45	9	22.4	24.1	729538.4892	5832035.521
S10morningNB2miel	S10	morning	N	B2	miel	45	9	22.4	24.1	729543.7296	5832035.521
S10morningNB2thon	S10	morning	N	B2	thon	45	9	22.4	24.1	729543.7296	5832035.521
S10morningNB3miel	S10	morning	N	B3	miel	45	9	22.4	24.1	729549.0288	5832035.521
S10morningNB3thon	S10	morning	N	B3	thon	45	9	22.4	24.1	729549.0288	5832035.521
S10morningNB4miel	S10	morning	N	B4	miel	45	9	22.4	24.1	729554.3869	5832035.697
S10morningNB4thon	S10	morning	N	B4	thon	45	9	22.4	24.1	729554.3869	5832035.697
S10morningNB5miel	S10	morning	N	B5	miel	45	9	22.4	24.1	729559.274	5832035.638
S10morningNB5thon	S10	morning	N	B5	thon	45	9	22.4	24.1	729559.274	5832035.638
S10morningSA1miel	S10	morning	S	A1	miel	45	9	25.5	26.25	729559.0416	5831993.194
S10morningSA1thon	S10	morning	S	A1	thon	45	9	25.5	26.25	729559.0416	5831993.194
S10morningSA2miel	S10	morning	S	A2	miel	45	9	25.5	26.25	729553.9779	5831993.135
S10morningSA2thon	S10	morning	S	A2	thon	45	9	25.5	26.25	729553.9779	5831993.135
S10morningSA3miel	S10	morning	S	A3	miel	45	9	25.5	26.25	729548.9142	5831993.194
S10morningSA3thon	S10	morning	S	A3	thon	45	9	25.5	26.25	729548.9142	5831993.194
S10morningSA4miel	S10	morning	S	A4	miel	45	9	25.5	26.25	729543.6738	5831993.253
S10morningSA4thon	S10	morning	S	A4	thon	45	9	25.5	26.25	729543.6738	5831993.253
S10morningSA5miel	S10	morning	S	A5	miel	45	9	25.5	26.25	729538.3157	5831993.37
S10morningSA5thon	S10	morning	S	A5	thon	45	9	25.5	26.25	729538.3157	5831993.37
S10morningSB1miel	S10	morning	S	B1	miel	45	9	25.5	26.25	729559.0416	5831988.601
S10morningSB1thon	S10	morning	S	B1	thon	45	9	25.5	26.25	729559.0416	5831988.601
S10morningSB2miel	S10	morning	S	B2	miel	45	9	25.5	26.25	729554.0956	5831988.778
S10morningSB2thon	S10	morning	S	B2	thon	45	9	25.5	26.25	729554.0956	5831988.778
S10morningSB3miel	S10	morning	S	B3	miel	45	9	25.5	26.25	729548.8553	5831988.601
S10morningSB3thon	S10	morning	S	B3	thon	45	9	25.5	26.25	729548.8553	5831988.601
S10morningSB4miel	S10	morning	S	B4	miel	45	9	25.5	26.25	729543.4972	5831988.66
S10morningSB4thon	S10	morning	S	B4	thon	45	9	25.5	26.25	729543.4972	5831988.66
S10morningSB5miel	S10	morning	S	B5	miel	45	9	25.5	26.25	729538.1979	5831988.837
S10morningSB5thon	S10	morning	S	B5	thon	45	9	25.5	26.25	729538.1979	5831988.837
S10morningWA1miel	S10	morning	W	A1	miel	45	9	21.7	22.2	729533.6393	5832004.564
S10morningWA1thon	S10	morning	W	A1	thon	45	9	21.7	22.2	729533.6393	5832004.564
S10morningWA2miel	S10	morning	W	A2	miel	45	9	21.7	22.2	729533.2272	5832010.393
S10morningWA2thon	S10	morning	W	A2	thon	45	9	21.7	22.2	729533.2272	5832010.393
S10morningWA3miel	S10	morning	W	A3	miel	45	9	21.7	22.2	729533.2272	5832016.222
S10morningWA3thon	S10	morning	W	A3	thon	45	9	21.7	22.2	729533.2272	5832016.222
S10morningWA4miel	S10	morning	W	A4	miel	45	9	21.7	22.2	729533.2272	5832021.521
S10morningWA4thon	S10	morning	W	A4	thon	45	9	21.7	22.2	729533.2272	5832021.521
S10morningWA5miel	S10	morning	W	A5	miel	45	9	21.7	22.2	729533.1683	5832027.174
S10morningWA5thon	S10	morning	W	A5	thon	45	9	21.7	22.2	729533.1683	5832027.174
S10morningWB1miel	S10	morning	W	B1	miel	45	9	21.7	22.2	729527.6924	5832004.505
S10morningWB1thon	S10	morning	W	B1	thon	45	9	21.7	22.2	729527.6924	5832004.505
S10morningWB2miel	S10	morning	W	B2	miel	45	9	21.7	22.2	729527.5158	5832010.57
S10morningWB2thon	S10	morning	W	B2	thon	45	9	21.7	22.2	729527.5158	5832010.57
S10morningWB3miel	S10	morning	W	B3	miel	45	9	21.7	22.2	729527.1625	5832016.163
S10morningWB3thon	S10	morning	W	B3	thon	45	9	21.7	22.2	729527.1625	5832016.163
S10morningWB4miel	S10	morning	W	B4	miel	45	9	21.7	22.2	729527.4569	5832021.345
S10morningWB4thon	S10	morning	W	B4	thon	45	9	21.7	22.2	729527.4569	5832021.345
S10morningWB5miel	S10	morning	W	B5	miel	45	9	21.7	22.2	729527.4569	5832027.115
S10morningWB5thon	S10	morning	W	B5	thon	45	9	21.7	22.2	729527.4569	5832027.115
S10noonEA1miel	S10	noon	E	A1	miel	45	1	29.4	31.6	729564.2572	5832030.883
S10noonEA1thon	S10	noon	E	A1	thon	45	1	29.4	31.6	729564.2572	5832030.883
