ID	zone	building	time	Bface	position	baitType	empty	tap_mag	tap_err	las_nig	las_ema	myr_spe	myr_sab	myr_sch	myr_gra	tet_sp	sol_fug	for_cun	for_ruf	for_fus	pla_pyg	tem_sp
S1afternoonEA2thon	invaded	S1	afternoon	E	A2	thon	no	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA3miel	invaded	S1	afternoon	E	A3	miel	no	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA3thon	invaded	S1	afternoon	E	A3	thon	no	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA4miel	invaded	S1	afternoon	E	A4	miel	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA4thon	invaded	S1	afternoon	E	A4	thon	no	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA5miel	invaded	S1	afternoon	E	A5	miel	no	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEA5thon	invaded	S1	afternoon	E	A5	thon	no	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB1miel	invaded	S1	afternoon	E	B1	miel	no	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB1thon	invaded	S1	afternoon	E	B1	thon	no	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB2miel	invaded	S1	afternoon	E	B2	miel	no	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB2thon	invaded	S1	afternoon	E	B2	thon	no	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB3miel	invaded	S1	afternoon	E	B3	miel	no	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB3thon	invaded	S1	afternoon	E	B3	thon	no	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB4miel	invaded	S1	afternoon	E	B4	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB4thon	invaded	S1	afternoon	E	B4	thon	no	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB5miel	invaded	S1	afternoon	E	B5	miel	no	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonEB5thon	invaded	S1	afternoon	E	B5	thon	no	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA1miel	invaded	S1	afternoon	S	A1	miel	no	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA1thon	invaded	S1	afternoon	S	A1	thon	no	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA2miel	invaded	S1	afternoon	S	A2	miel	no	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA2thon	invaded	S1	afternoon	S	A2	thon	no	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA3miel	invaded	S1	afternoon	S	A3	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA3thon	invaded	S1	afternoon	S	A3	thon	no	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA4miel	invaded	S1	afternoon	S	A4	miel	no	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA4thon	invaded	S1	afternoon	S	A4	thon	no	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA5miel	invaded	S1	afternoon	S	A5	miel	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSA5thon	invaded	S1	afternoon	S	A5	thon	yes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB1miel	invaded	S1	afternoon	S	B1	miel	no	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB1thon	invaded	S1	afternoon	S	B1	thon	no	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB2miel	invaded	S1	afternoon	S	B2	miel	no	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB2thon	invaded	S1	afternoon	S	B2	thon	no	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB3miel	invaded	S1	afternoon	S	B3	miel	no	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB3thon	invaded	S1	afternoon	S	B3	thon	no	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB4miel	invaded	S1	afternoon	S	B4	miel	no	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB4thon	invaded	S1	afternoon	S	B4	thon	no	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB5miel	invaded	S1	afternoon	S	B5	miel	no	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
S1afternoonSB5thon	invaded	S1	afternoon	S	B5	thon	no	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0
